Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
High throughput plasmonic lithography for sub 50nm patterning with a contact probe,"['Kim, Yongwoo', 'Kim, Seok', 'Jung, Howon', 'Hahn, Jae W.']",ALTERNATIVE LITHOGRAPHIC TECHNOLOGIES II,7637,UNDEFINED,2010,jaewhahn@yonsei.ac.kr,"Yonsei Univ, Sch Mech Engn, Nano Photon Lab, 262 Seongsanno, Seoul 120749, South Korea.","['Materials Science', 'Optics', 'Physics']","['nano lithography', 'plasmonic lithography', 'near-field optical lithography', 'nanostructure fabrication', 'surface plasmon', 'plasmonics']","['NEAR-FIELD PHOTOLITHOGRAPHY', 'HIGH TRANSMISSION', 'DATA-STORAGE', 'RESOLUTION', 'NANOLITHOGRAPHY', 'APERTURES', 'OPTICS', 'LASER', 'SIO2']",[]
Nanostructured optical fibre arrays for high-density biochemical sensing and remote imaging,"['Deiss, F.', 'Sojic, N.', 'White, D. J.', 'Stoddart, P. R.']",ANALYTICAL AND BIOANALYTICAL CHEMISTRY,396,1,Jan-10,sojic@enscbp.fr; PStoddart@swin.edu.au,"Univ Bordeaux 1, CNRS, Inst Mol Sci, Grp Nanosyst Analyt,CNRS,UMR 5255,ENSCBP, 16 Ave Pey Berland, F-33607 Pessac, France.","['Biochemistry & Molecular Biology', 'Chemistry']","['Nanosensor array', 'Biosensor', 'Imaging', 'SERS', 'Electrochemistry', 'Single molecule detection', 'Optical fibre sensors']","['ENHANCED RAMAN-SCATTERING', 'SCANNING ELECTROCHEMICAL/OPTICAL MICROSCOPY', 'SINGLE-ENZYME MOLECULES', 'ELECTRODE CHEMICAL SENSOR', 'ELECTROGENERATED CHEMILUMINESCENCE', 'GENE-EXPRESSION', 'HIGH-RESOLUTION', 'ORDERED ARRAY', 'FLUORESCENCE MICROSCOPY', 'OLIGONUCLEOTIDE ARRAYS']","[['Agence Nationale pour la Recherche', 'ANR05- NANO-048'], ['CNRS', ''], ['Region Aquitaine', ''], ['National Health and Medical Research Council through Development', '448610']]"
Large-Area Nanocontact Printing with Metallic Nanostencil Masks,"['Lee, Min Hyung', 'Lin, Julia Y.', 'Odom, Teri W.']",ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,49,17,2010,todom@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Chemistry'],"['microcontact printing', 'monolayers', 'nanostructures', 'self-assembly', 'surface chemistry']","['SELF-ASSEMBLED MONOLAYERS', 'DIP-PEN NANOLITHOGRAPHY', 'LITHOGRAPHY', 'STAMPS', 'GOLD', 'ALKANETHIOLS', 'ROUTE', 'FLAT', 'PDMS']","[['National Science Foundation', 'CMMI-0826219'], ['Nanoscale Science and Engineering, NSF', 'EEC-0647560'], ['NSF MRSEC', ''], ['NSF NSEC', ''], ['Keck Foundation', '']]"
Polymer-Coated Tips for Patterning of Viruses by Dip-Pen Nanolithography,"['Shin, Young-Hun', 'Yun, Seong-Hun', 'Pyo, Su-Hyun', 'Lim, Yi-Seul', 'Yoon, Hyeok-Jin', 'Kim, Ki-Hoon', 'Moon, Sung-Kwon', 'Lee, Seung Woo', 'Park, Young Geun', 'Chang, Soo-Ik', 'Kim, Kyung-Min', 'Lim, Jung-Hyurk']",ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,49,50,2010,jhlim@cjnu.ac.kr,"Chungju Natl Univ, Dept Polymer Sci & Technol, 72 Daehangno, Chungju Si 380702, South Korea.",['Chemistry'],"['dip-pen nanolithography', 'direct-write patterning', 'gels', 'nanoarrays', 'viruses']","['SELF-ASSEMBLED MONOLAYERS', 'LITHOGRAPHY', 'PROTEINS', 'NANOSTRUCTURES', 'SURFACES', 'ARRAYS', 'CELLS', 'STAMP']","[['Korean Research Foundation', 'KRF-20060D00142'], ['Korean government', 'RTI04-03-06']]"
Nanoscale engineering of biomimetic surfaces: cues from the extracellular matrix,"['von der Mark, Klaus', 'Park, Jung', 'Bauer, Sebastian', 'Schmuki, Patrik']",CELL AND TISSUE RESEARCH,339,1,Jan-10,kvdmark@molmed.uni-erlangen.de,"Friedrich Alexander Univ Erlangen Nuremberg, Dept Expt Med 1, Nikolaus Fiebiger Ctr Mol Med, Glueckstr 6, D-91054 Erlangen, Germany.",['Cell Biology'],"['Extracellular matrix', 'Biomimetic materials', 'Tissue engineering', 'Nanotechnology', 'Nanotopography']","['ARG-GLY-ASP', 'TIO2 NANOTUBE SURFACES', 'HEPARAN-SULFATE PROTEOGLYCAN', 'COLLAGENASE GENE-EXPRESSION', 'CAPILLARY-LIKE STRUCTURES', 'HUMAN-ENDOTHELIAL CELLS', 'IN-VITRO', 'OSTEOBLAST ADHESION', 'DRUG-DELIVERY', 'ORTHOPEDIC APPLICATIONS']","[['Deutsche Forschungsgemeinschaft (DFG)', 'MA534/20-1\xa0\nMA534/24-1\xa0\nSCHM 1597/9-1']]"
"Tip-based nanomanufacturing by electrical, chemical, mechanical and thermal processes","['Malshe, A. P.', 'Rajurkar, K. P.', 'Virwani, K. R.', 'Taylor, C. R.', 'Bourell, D. L.', 'Levy, G.', 'Sundaram, M. M.', 'McGeough, J. A.', 'Kalyanasundaram, V.', 'Samant, A. N.']",CIRP ANNALS-MANUFACTURING TECHNOLOGY,59,2,2010,apm2@uark.edu,"204 Mech Engn Bldg,W Dickson St, Fayetteville, AR 72701 USA.",['Engineering'],"['Manufacturing', 'Nano manufacturing', 'Tip-based nano manufacturing']","['DIP-PEN-NANOLITHOGRAPHY', 'SCANNING TUNNELING MICROSCOPE', 'ATOMIC-FORCE MICROSCOPY', 'SELF-ASSEMBLED MONOLAYERS', 'HIGH-ASPECT-RATIO', 'FOCUSED-ION-BEAM', 'SURFACE MODIFICATION', 'DIAMOND TIPS', 'THIN-FILM', 'PROBE MICROSCOPY']",[]
Controlled Growth of Nano- and Bio-Arrays on Patterned Substrates,"['Zhang, Hua', 'Li, Bing', 'Zhou, Xiaozhu', 'Lu, Gang', 'Cao, Xiehong', 'Boey, Freddy']","INEC: 2010 3RD INTERNATIONAL NANOELECTRONICS CONFERENCE, VOLS 1 AND 2",UNDEFINED,UNDEFINED,2010,HZhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Engineering', 'Science & Technology - Other Topics']",[],['DIP-PEN-NANOLITHOGRAPHY'],[]
Supramolecular replication of peptide and DNA patterned arrays,"['Laromaine, Anna', 'Akbulut, Ozge', 'Stellacci, Francesco', 'Stevens, Molly M.']",JOURNAL OF MATERIALS CHEMISTRY,20,1,2010,frstella@mit.edu; m.stevens@imperial.ac.uk,"MIT, Dept Mat Sci & Engn, Cambridge, MA 02139 USA.","['Chemistry', 'Materials Science']",[],"['HELICAL COILED-COILS', 'PROTEIN-DESIGN', 'SPECIFICITY', 'MICROARRAY', 'TECHNOLOGIES', 'STABILITY', 'MOLECULES', 'BUNDLES', 'SYSTEMS', 'ACIDS']","[['Packard Foundation (FS)', ''], ['EPSRC', ''], ['FP7 ERC', ''], ['Beatriu de Pinos, Generalitat de Catalunya', '']]"
"By what means should nanoscaled materials be constructed: molecule, medium, or human?","['Ariga, Katsuhiko', 'Hu, Xianluo', 'Mandal, Saikat', 'Hill, Jonathan P.']",NANOSCALE,2,2,2010,ARIGA.Katsuhiko@nims.go.jp,"Natl Inst Mat Sci, World Premier Int WPI Res Ctr Mat Nanoarchitecton, 1-1 Namiki, Tsukuba, Ibaraki 3050044, Japan.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['AIR-WATER-INTERFACE', 'SELF-ASSEMBLED MONOLAYERS', 'LANGMUIR-BLODGETT-FILMS', 'MESOPOROUS NANOCOMPARTMENT FILMS', 'POROUS COORDINATION POLYMER', 'ORGANIC-INORGANIC HYBRID', 'DIP-PEN NANOLITHOGRAPHY', 'WALLED CARBON NANOTUBES', 'DYNAMIC CAVITY ARRAY', 'SOL-GEL SYNTHESIS']","[['World Premier International Research Center (WPI) Initiative on Materials Nanoarchitectonics, MEXT, Japan', ''], ['Japan Society for the Promotion of Science (JSPS)', '']]"
The Effects of Organic Vapor on Alkanethiol Deposition via Dip-Pen Nanolithography,"['Salaita, Khalid', 'Amarnath, Anand', 'Higgins, Thomas B.', 'Mirkin, Chad A.']",SCANNING,32,1,JAN-FEB 2010,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Instruments & Instrumentation', 'Microscopy']","['DPN', 'AFM', 'nanoscale transport', 'self-assembled monolayer', 'alkanethiol']","['ATOMIC-FORCE MICROSCOPY', 'MOLECULAR-TRANSPORT', 'MENISCUS FORMATION', 'NANOSTRUCTURES', 'INK', 'TIP', 'EVOLUTION', 'DIFFUSION', 'PROTEINS', 'SURFACES']","[['Air Force Office of Scientific Research (AFOSR)', ''], ['Defense Advanced Research Projects Agency (DARPA)', ''], ['National Science Foundation (NSF)', '']]"
In Situ Lipid Dip-Pen Nanolithography Under Water,"['Lenhert, Steven', 'Mirkin, Chad A.', 'Fuchs, Harald']",SCANNING,32,1,JAN-FEB 2010,lenhert@bio.fsu.edu,"Florida State Univ, Dept Biol Sci, B-157, Tallahassee, FL 32306 USA.","['Instruments & Instrumentation', 'Microscopy']","['dip-pen nanolithography', 'phospholipid', 'in situ imaging', 'atomic force microscopy', 'confocal optical microscopy']","['ATOMIC-FORCE MICROSCOPY', 'ALKANETHIOL MIXTURES', 'HYDROPHILIC SURFACES', 'DNA', 'LITHOGRAPHY', 'BILAYERS', 'DYNAMICS', 'MENISCUS', 'FEATURES', 'GOLD']","[['U.S. National Science Foundation', ''], ['Deutsche Forschungsgemeinschaft', '']]"
Molecular Dynamics Investigation of Charge Carrier Density Influence over Mobility in Conjugated Polymers,"['de Oliveira Neto, Pedro Henrique;', 'da Cunha, Wiliam Ferreira;', 'Gargano, Ricardo;', 'Magela e Silva, Geraldo']",JOURNAL OF PHYSICAL CHEMISTRY A,113,52,DEC 31 2009,UNDEFINED,UNDEFINED,"['Chemistry', 'Physics']",[],[],[]
Thermochemical Nanolithography of Multifunctional a Nanotemplates for Assembling Nano-objects,"['Wang, Debin', 'Kodali, Vamsi K.', 'Underwood, William D., II', 'Jarvholm, Jonas E.', 'Okada, Takashi', 'Jones, Simon C.', 'Rumi, Mariacristina', 'Dai, Zhenting', 'King, William P.', 'Marder, Seth R.', 'Curtis, Jennifer E.', 'Riedo, Elisa']",ADVANCED FUNCTIONAL MATERIALS,19,23,DEC 9 2009,UNDEFINED,"Georgia Inst Technol, Sch Phys, Atlanta, GA 30332 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'IMMUNOLOGICAL SYNAPSE', 'SURFACES', 'NANOARRAYS', 'PROTEINS', 'PATTERNS', 'OLIGONUCLEOTIDES', 'LITHOGRAPHY', 'ACTIVATION', 'DEPOSITION']",[]
Charge carrier untrapping by temperature effects in conjugated polymers,"['de Oliveira Neto, P. H.', 'da Cunha, W. F.', 'Silva, G. M. e']",EPL,88,6,Dec-09,pedrohenrique.fis@gmail.com,"Univ Brasilia, Inst Phys, BR-70917970 Brasilia, DF, Brazil.",['Physics'],[],"['ORGANIC TRANSISTORS', 'DYNAMICS', 'POLARON', 'SOLITONS']","[['CNPq', ''], ['CAPES', ''], ['Finatec', '']]"
Dip-Pen Nanolithography of Electrical Contacts to Single-Walled Carbon Nanotubes,"['Wang, Wechung Maria', 'LeMieux, Melburne C.', 'Selvarasah, Selvapraba', 'Dokmeci, Mehmet R.', 'Bao, Zhenan']",ACS NANO,3,11,Nov-09,zbao@stanford.edu,"Stanford Univ, Dept Chem Engn, Stanford, CA 94305 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']","['gold electrode', 'patterning', 'carbon nanotube', 'scanning probe lithography', 'dip-pen nanolithography', 'nanofabrication']","['FIELD-EFFECT TRANSISTORS', 'SELF-ASSEMBLED MONOLAYERS', 'LOW-ENERGY-ELECTRON', 'GOLD NANOPARTICLES', 'CONTROLLED GROWTH', 'ROOM-TEMPERATURE', 'RAMAN-SCATTERING', 'NANOSTRUCTURES', 'IRRADIATION', 'LITHOGRAPHY']","[['Stanford Graduate Fellowship', ''], ['NSF Graduate Research Fellowship', ''], ['NSF-NIRT program', '']]"
Nanopattern transfer and wettability modification of regularly structured metallic and polymeric surfaces with replication,"['Kim, Mee Rahn', 'Heo, Soo Yeon', 'Jang, Du-Jeon']",JOURNAL OF COLLOID AND INTERFACE SCIENCE,339,1,NOV 1 2009,djjang@snu.ac.kr,"Seoul Natl Univ, Sch Chem, NS60, Seoul 151742, South Korea.",['Chemistry'],"['Contact angle', 'Gold', 'Nanoporous alumina', 'Nanotexture', 'Polystyrene']","['SUPERHYDROPHOBIC SURFACES', 'SOFT LITHOGRAPHY', 'FABRICATION', 'TOPOGRAPHY', 'NANOPARTICLES', 'ARRAYS', 'FILMS', 'NANOSTRUCTURES', 'TRANSFORMATION', 'MONOLAYERS']","[['Korea Research Foundation (KRF)', 'R112007-012-01002-0'], ['Ministry of Education, Science, and Technology', 'M10703000871-07M0300-87110\xa0\n20090071184']]"
Plasmonic nano lithography with a high scan speed contact probe,"['Kim, Yongwoo', 'Kim, Seok', 'Jung, Howon', 'Lee, Eungman', 'Hahn, Jae W.']",OPTICS EXPRESS,17,22,OCT 26 2009,jaewhahn@yonsei.ac.kr,"Yonsei Univ, Sch Mech Engn, Nano Photon Lab, 262 Seongsanno, Seoul 120749, South Korea.",['Optics'],[],"['NEAR-FIELD PHOTOLITHOGRAPHY', 'HIGH TRANSMISSION', 'OPTICAL MICROSCOPE', 'DATA-STORAGE', 'NANOLITHOGRAPHY', 'APERTURES', 'RESOLUTION', 'RADIATION', 'LASER', 'SIO2']","[['Korea Ministry of Commerce, Industry and Energy', '10030259-2008-02']]"
Dip-Pen Lithography of Ferroelectric PbTiO3 Nanodots,"['Son, Jong Yeog', 'Shin, Young-Han', 'Ryu, Sangwoo', 'Kim, Hyungjun', 'Jang, Hyun M.']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,131,41,OCT 21 2009,hmjang@postech.ac.kr,"Pohang Univ Sci & Technol, Dept Mat Sci & Engn, Pohang 790784, South Korea.",['Chemistry'],[],"['NANOLITHOGRAPHY', 'NANOSTRUCTURES', 'MEMORIES', 'SIZE', 'NANOPARTICLES', 'LANTHANUM', 'SURFACES', 'ARRAYS']","[['Brain Korea 21 Project', ''], ['Korea Research Foundation', 'KRF-2007-314-C00111\xa0\nKRF-2008-313-C00309'], ['Ministry of Education, Science and Technology', 'R31-2008-000-10059-0'], ['Korea Science and Engineering Foundation (KOSEF)', 'R01-2007-000-20143-0']]"
A Modified Micromolding Method for Sub-100-nm Direct Patterning of Pd Nanowires,"['Radha, Boya', 'Kulkarni, Giridhar U.']",SMALL,5,20,OCT 16 2009,kulkarni@jncasr.ac.in,"Jawaharlal Nehru Ctr Adv Sci Res, Chem & Phys Mat Unit, Jakkur PO, Bangalore 560064, Karnataka, India.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['direct patterning', 'metal nanowires', 'micromolding', 'nanolithography', 'soft lithography']","['SOFT-LITHOGRAPHY', 'ELASTOMERIC STAMP', 'NANOLITHOGRAPHY', 'MICROFABRICATION', 'DEFORMATION', 'FABRICATION', 'GENERATION', 'RESOLUTION', 'DEVICES']",[]
"Facile ""Needle-Scratching"" Method for Fast Catalyst Patterns Used for Large-Scale Growth of Densely Aligned Single-Walled Carbon-Nanotube Arrays","['Li, Bing', 'Cao, Xiehong', 'Huang, Xiao', 'Lu, Gang', 'Huang, Yizhong', 'Goh, Chin Foo', 'Boey, Freddy Y. C.', 'Zhang, Hua']",SMALL,5,18,SEP 18 2009,hzhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['arrays', 'carbon nanotubes', 'catalysts', 'chemical vapor deposition', 'needle scratching']","['DIP-PEN-NANOLITHOGRAPHY', 'THIN-FILM TRANSISTORS', 'METAL NANOPARTICLES', 'RAMAN-SPECTROSCOPY', 'GUIDED GROWTH', 'ELECTRONICS', 'NANOSTRUCTURES', 'PERFORMANCE', 'INTEGRATION', 'DEVICES']","[['NTU', ''], ['MOE', 'RG 20/07'], ['NRF in Singapore', 'NRF-CRP2-2007-01']]"
Controlled Assembly of Gold Nanoparticles and Graphene Oxide Sheets on Dip Pen Nanolithography-Generated Templates,"['Li, Bing', 'Lu, Gang', 'Zhou, Xiaozhu', 'Cao, Xiehong', 'Boey, Freddy', 'Zhang, Hua']",LANGMUIR,25,18,SEP 15 2009,hzhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Chemistry', 'Materials Science']",[],"['METAL NANOPARTICLES', 'SOFT LITHOGRAPHY', 'COLLOIDAL GOLD', 'NANOSTRUCTURES', 'FABRICATION', 'SURFACES', 'PATTERNS', 'SINGLE', 'MONOLAYERS', 'ARRAYS']","[['NTU', ''], ['MOE', '20/07'], ['NRF', 'NRF-CRP2-2007-01'], ['A*STAR in Singapore', '092 1010064']]"
Nondestructively Creating Nanojunctions by Combined-Dynamic-Mode Dip-Pen Nanolithography,"['Shen, Guanxia', 'Lu, Yiqing', 'Shen, Li', 'Zhang, Yi', 'Guo, Shouwu']",CHEMPHYSCHEM,10,13,SEP 9 2009,zhangyi@sinap.ac.cn; swguo@sjtu.edu.cn,"Chinese Acad Sci, Shanghai Inst Appl Phys, Shanghai 201800, Peoples R China.","['Chemistry', 'Physics']","['atomic force microscopy', 'dip-pen nanolithography', 'nanojunctions', 'nanotechnology', 'nanotubes']","['SINGLE DNA-MOLECULES', 'CARBON NANOTUBES', 'CONTROLLED GROWTH', 'NANOMANIPULATION', 'NANOELECTRONICS', 'NANOSTRUCTURES', 'SEMICONDUCTOR', 'MICROSCOPE', 'BIOSENSORS', 'NANOWIRES']","[['National High Technology Research and Development Program (863 Program) of China', '2006AA04Z309'], ['National Basic Research Program (973 Program) of China', '2007CB936000'], ['National Natural Science Foundation of China', '20873084']]"
"Facile ""Scratching"" Method with Common Metal Objects To Generate Large-Scale Catalyst Patterns Used for Growth of Single-Walled Carbon Nanotubes","['Cao, Xiehong', 'Li, Bing', 'Huang, Yizhong', 'Boey, Freddy', 'Yu, Ting', 'Shen, Zexiang', 'Zhang, Hua']",ACS APPLIED MATERIALS & INTERFACES,1,9,Sep-09,hzhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Science & Technology - Other Topics', 'Materials Science']","['catalyst', 'single-walled carbon nanotubes', 'arrays', 'chemical vapor deposition', 'scratching']","['DIP-PEN-NANOLITHOGRAPHY', 'CHEMICAL-VAPOR-DEPOSITION', 'DIRECTED GROWTH', 'ALIGNED ARRAYS', 'GUIDED GROWTH', 'NANOSTRUCTURES', 'SURFACES', 'FABRICATION', 'NANOPARTICLES', 'LITHOGRAPHY']","[['NTU', ''], ['MOE', 'RG 20/07'], ['CRP', 'NRF-CRP2-2007-01'], ['A*STAR', '092 101 0064']]"
Patterned and switchable surfaces for biomolecular manipulation,"['Hook, A. L.', 'Voelcker, N. H.', 'Thissen, H.']",ACTA BIOMATERIALIA,5,7,Sep-09,Andrew.Hook@flinders.edu.au,"Flinders Univ S Australia, Sch Chem Phys & Earth Sci, Adelaide, SA 5001, Australia.","['Engineering', 'Materials Science']","['Surface patterning', 'Switchability', 'DNA adsorption', 'Spatial control', 'Temporal control']","['DIP-PEN NANOLITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'CONTROLLED CELL-ADHESION', 'MICROARRAY TECHNOLOGY', 'POLYMER SURFACES', 'RADICAL POLYMERIZATION', 'PROTEIN MICROARRAYS', 'SOFT LITHOGRAPHY', 'PEPTIDE ARRAYS', 'MAGNETIC FORCE']",[]
Generation of Metal Photomasks by Dip-Pen Nanolithography,"['Jang, Jae-Won;', 'Sanedrin, Raymond G.;', 'Senesi, Andrew J.;', 'Zheng, Zijian;', 'Chen, Xiaodong;', 'Hwang, Seongpil;', 'Huang, Ling;', 'Mirkin, Chad A.']",SMALL,5,16,AUG 17 2009,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['dip-pen nanolithography', 'electrodes', 'lithography']","['CONTROLLED GROWTH', 'TAT PEPTIDE', 'NANOSTRUCTURES', 'SURFACES', 'FEATURES', 'GOLD', 'NANOARRAYS', 'TEMPLATES', 'OLIGONUCLEOTIDES', 'IMMOBILIZATION']","[['Korea Research Foundation', 'KRF-M01-2005-00010321-0'], ['MOEHRD', 'KRF-2006-214-C00060']]"
Agarose-Assisted Dip-Pen Nanolithography of Oligonucleotides and Proteins,"['Senesi, Andrew J.', 'Rozkiewicz, Dorota I.', 'Reinhoudt, David N.', 'Mirkin, Chad A.']",ACS NANO,3,8,Aug-09,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']","['dip-pen nanolithography', 'matrix-assisted deposition', 'agarose', 'DNA arrays', 'protein arrays', 'scanning probe lithography', 'atomic force microscopy']","['GENE-EXPRESSION', 'ARRAYS', 'GELS', 'IMMOBILIZATION', 'LITHOGRAPHY', 'NANOARRAYS', 'MOLECULES', 'HYDROGEL', 'SURFACES', 'BEHAVIOR']","[['Dutch Ministry of Economic Affairs', 'TTF6329']]"
Molecular printing,"['Braunschweig, Adam B.', 'Huo, Fengwei;', 'Mirkin, Chad A.']",NATURE CHEMISTRY,1,5,Aug-09,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Chemistry'],[],"['DIP-PEN NANOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPE', 'CENTIMETER-SCALE', 'NANOSTRUCTURES', 'LITHOGRAPHY', 'NANOARRAYS', 'PARALLEL', 'TEMPLATES', 'INK', 'IMMOBILIZATION']","[['AFOSR', ''], ['NCI-CCNE', ''], ['DARPA-SPAWAR', ''], ['NSF-NSEC', ''], ['NIH Postdoctoral Fellowship', '']]"
Design of high-bandwidth high-precision flexure-based nanopositioning modules,"['Polit, Sebastian', 'Dong, Jingyan']",JOURNAL OF MANUFACTURING SYSTEMS,28,3-Feb,Jul-09,spolit@ncsu.edu; jdong@ncsu.edu,"N Carolina State Univ, Dept Ind & Syst Engn, 414-C Daniels Hall,Campus Box 7906, Raleigh, NC 27695 USA.","['Engineering', 'Operations Research & Management Science']",[],"['DIP-PEN NANOLITHOGRAPHY', 'MICROPOSITIONING DEVICE', 'XY STAGE', 'FABRICATION', 'KINEMATICS', 'LITHOGRAPHY', 'MICROSCOPY', 'MECHANISM']","[['National Science Foundation', 'CMMI 0800863']]"
Massively parallel fabrication of repetitive nanostructures: nanolithography for nanoarrays,"['Luttge, Regina']",JOURNAL OF PHYSICS D-APPLIED PHYSICS,42,12,JUN 21 2009,R.Luttge@utwente.nl,"Univ Twente, MESA Inst Nanotechnol, Fac Sci & Technol, POB 217, NL-7500 AE Enschede, Netherlands.",['Physics'],[],"['EXTREME-ULTRAVIOLET LITHOGRAPHY', 'LASER-INTERFERENCE LITHOGRAPHY', 'DIP-PEN NANOLITHOGRAPHY', 'GENETICALLY-ENGINEERED VIRUSES', 'BLOCK-COPOLYMER LITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'PATTERNED MEDIA', 'INTERFEROMETRIC LITHOGRAPHY', 'NANOIMPRINT LITHOGRAPHY', 'MASKLESS LITHOGRAPHY']","[['Technology Foundation STW', ''], ['Applied Science Division of NWO', ''], ['Ministry of Economic Affairs', '']]"
Beat the diffraction limit in 3D direct laser writing in photosensitive glass,"['Bellec, Matthieu', 'Royon, Arnaud', 'Bousquet, Bruno', 'Bourhis, Kevin', 'Treguer, Mona', 'Cardinal, Thierry', 'Richardson, Martin', 'Canioni, Lionel']",OPTICS EXPRESS,17,12,JUN 8 2009,m.bellec@cpmoh.u-bordeaux1.fr,"Univ Bordeaux, Ctr Phys Mol Opt & Hertzienne, 351 Cours Liberat, F-33405 Talence, France.",['Optics'],[],"['INFRARED FEMTOSECOND LASER', 'TRANSPARENT MATERIALS', 'PHOSPHATE-GLASSES', 'WAVE-GUIDES', 'NANOCLUSTERS', 'DIELECTRICS', 'IONIZATION', 'GENERATION', 'CLUSTERS', 'STORAGE']","[['Agence Nationale de la Recherche', 'ANR-05-BLAN-0212-01'], ['CNRS', '3179'], ['Aquitaine Region', ''], ['GIS AMA', ''], ['NSF', ''], ['French Embassy in the US', '']]"
Nanofabrication beyond Electronics,"['Wang, YuHuang', 'Mirkin, Chad A.', 'Park, So-Jung']",ACS NANO,3,5,May-09,yhw@umd.edu,"Univ Maryland, Dept Chem & Biochem, College Pk, MD 20742 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']",[],"['DIP-PEN NANOLITHOGRAPHY', 'WALLED CARBON NANOTUBES', 'SELF-ASSEMBLED MONOLAYERS', 'IMPRINT LITHOGRAPHY', 'SILVER NANOCUBES', 'GROWTH-MECHANISM', 'RESOLUTION', 'MOLECULES', 'PATTERNS', 'FUNCTIONALIZATION']",[]
Dip-Pen Nanolithography-Generated Patterns Used as Gold Etch Resists: A Comparison Study of 16-Mercaptohexadecanioc Acid and 1-Octadecanethiol,"['Lu, Gang', 'Chen, Yanhong', 'Li, Bing', 'Zhou, Xiaozhu', 'Xue, Can', 'Ma, Jan', 'Boey, Freddy Y. C.', 'Zhang, Hua']",JOURNAL OF PHYSICAL CHEMISTRY C,113,10,MAR 12 2009,hzhang@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']",[],"['SELF-ASSEMBLED MONOLAYERS', 'CONTROLLED GROWTH', 'NANOSTRUCTURES', 'TRANSPORT', 'SURFACE', 'LITHOGRAPHY', 'FABRICATION', 'NANOARRAYS', 'ARRAYS', 'DPN']","[['NTU', ''], ['MOE', 'RG 20/07']]"
Array-based optical nanolithography using optically trapped microlenses,"['McLeod, Euan', 'Arnold, Craig B.']",OPTICS EXPRESS,17,5,MAR 2 2009,cbarnold@princeton.edu,"Princeton Univ, Dept Mech & Aerosp Engn, Princeton, NJ 08544 USA.",['Optics'],[],"['DIELECTRIC SPHERE', 'MICROSPHERES', 'FABRICATION', 'POLYIMIDE', 'FORCES', 'LIGHT', 'BEAMS']","[['Air Force Office of Scientific Research', '']]"
